emploi;revenu;genre;citoyennete;ethnie;minorite;religion;education;reseau_social;residence;naissance_pays_residence;cohabitation;droit_vote;province;naissance_province_residence;classe_sociale;classe_sociale_parents;langue;annee_naissance;province_naissance_parents;pays_naissance_parents;covid_satisfaction;covid_soin;covid_inquietude;covid_gestion;covid_jeune;immigration_ouverture;climat_economie;immigration_syrie;transition_energetique_taxes;confiance_police;securite_quartier;securite_gouvernement;securite_frontieres;immigration_quotas;climat_impact;minorites_partis;corruption;corruption_participation;mondialisation;covid_politiques;economie_preoccupation;deficit;corruption_evaluation_partis;economie_sociotropique;economie_egotropique;economie_satisfaction;representation_minorites;economie_criteres;enjeux_chomage;enjeux_environnement;enjeux_immigration;enjeux_economie;enjeux_education;enjeux_sante;climat_social;importance_immigration;importance_ecologie;economieCANADA_confiance;economieFRANCE_confiance;immigrationCANADA_confiance;immigrationFRANCE_confiance;inquietude_attentats;satisfaction_democracie;confiance_ChefEtat;altruisme_politiques;education_civique;ecoles;comprehension_elites;importance_vote;importance_representation;disproportion_electorale;reedition_compte;partis_votes;votes_objectif;votes_delais;importance_chef;engagement_politique;connaissances_politiqueUS;interet_politiqueUS;proche_parti;institutions_democratiques;vote_demonstration;importance_traits;trait_integrite;trait_leadership;trait_competence;trait_empathie;representation_partis;mode_scrutin;changement_scrutin;integration_localite;ideologie;vote_strategique;satisfaction_gouvernement;interet_politique;parti_liberal;parti_conservateur;ndp;bloc_quebecois;parti_vert;source_information;reseausociaux_cause;medias_traditionnels;couverture_influence;chaines_independance;medias_neutralite;biais_medias;niveau_information;consultation_sondage1;consultation_sondageFRANCE;consultation_sondageCANADA;principale_source;engagement_reseauxsociaux;abonnements_personnalites;plateforme;frequence_utilisation;inscription_reseauxsociaux;contact_information;effet_debats;importance_debatsTV;confiance_contenuRS;confiance_TVRadio;confiance_presseecrite;site_parti;like_parti;sophistication_etatsunis;sophistication_freeland;sophistication_legault;sophistication_macron;sophistication_pence;sophistication_singh;participation;quebec_2018;vote_US;vote_habitude;vote_memeparti;vote_france;vote_canada;vote_quebec;anciens_presidents;vote_nationaliste;aucune_preference;preference_parti;satisfaction_modescrutin;vote_chancesfavoris;importance_competence;premier_choix;autrechoix_frequence;refus_voteCANADA;refus_voteFRANCE;strategie_vote2;motivation;age
6;6;2;1;13;2;4;2;;1;1;1;1;6;2;;2;1;1997;1;1;2;1;5;3;;2;1;4;3;2;2;1;2;4;1;;;6;3;;2;1;4;;1;3;;;2;5;6;3;1;4;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;3;3;4;4;4;4;2;;;2;3;3;3;7;4;2;0;8;;;;2;1;;;;;;;1;;;2;2;;;;;;;;;;;;;5;;;3;23
1;3;2;18;;1;4;2;2;1;2;2;1;6;2;1;1;1;1997;1;1;2;1;8;3;;3;2;4;4;2;1;2;3;3;1;3;2;8;2;3;2;1;8;3;1;2;1;2;2;5;6;4;1;3;3;7;2;5;;;;;2;3;2;4;1;3;1;1;2;2;3;2;1;5;1;3;3;2;3;3;6;1;2;3;4;3;2;3;10;5;6;2;2;5;0;5;5;5;1;3;1;2;4;1;2;3;3;;;1;3;3;3;7;4;2;0;7;3;3;3;1;1;2;5;4;2;3;1;1;5;2;1;2;;5;5;1;3;1;1;2;1;6;1;1;2;;;1;23
;3;2;1;;2;3;2;2;1;1;1;1;6;1;1;1;1;2002;1;1;2;;7;3;;2;1;4;2;3;2;2;3;4;1;7;2;6;4;3;2;;5;2;1;3;1;3;5;2;3;6;4;1;3;6;1;;;;;;2;4;2;4;2;2;1;2;3;2;;;2;8;3;2;2;2;3;2;7;3;2;1;4;;;3;10;6;5;2;4;6;3;7;7;7;3;2;2;2;2;4;2;3;2;;;3;1;2;3;6;4;3;6;8;2;2;3;3;3;;1;4;2;5;1;1;8;2;1;;;3;4;;9;1;2;;1;8;;5;2;;;1;18
6;2;2;1;2;2;4;3;1;1;1;1;1;6;1;1;1;1;1998;1;1;2;1;0;2;1;1;2;5;3;4;2;2;3;5;1;3;2;3;3;2;2;1;8;2;3;2;2;;6;5;4;2;1;3;3;8;2;6;;1;;;1;5;3;2;1;4;1;1;2;3;3;2;1;10;1;2;2;3;3;4;2;3;2;1;4;2;1;2;10;4;5;2;4;8;0;8;9;7;2;3;2;3;6;1;1;2;2;;;3;3;3;4;5;4;3;0;6;3;3;3;1;1;2;5;4;2;3;1;1;2;2;1;1;;4;1;3;4;1;1;2;1;8;1;5;2;;;1;22
6;5;1;1;4;2;4;2;2;1;1;1;1;6;1;1;1;1;2002;1;1;3;1;7;3;;3;2;4;3;2;1;2;3;4;2;7;3;9;3;3;2;;8;2;3;2;2;3;2;6;5;4;3;1;3;4;4;6;;6;;;3;2;2;2;2;3;1;2;3;4;2;1;2;9;3;3;4;2;3;3;6;2;1;4;3;2;3;3;2;4;5;2;3;2;6;5;5;5;2;3;3;2;4;2;3;3;2;;;3;2;3;3;6;3;3;0;10;2;2;2;2;1;2;5;4;2;3;1;1;8;2;1;2;;2;1;5;6;1;1;3;2;5;3;5;1;;;1;18
6;5;2;1;4;2;4;3;2;1;1;1;1;6;1;;2;1;1999;1;1;2;2;5;2;2;1;1;5;1;4;1;2;3;5;1;3;3;11;3;2;3;;10;3;3;5;1;2;2;5;3;4;6;1;2;8;1;3;;3;;;2;4;2;3;1;2;1;2;2;2;3;2;1;10;1;7;2;3;2;2;10;4;3;1;2;2;2;;10;3;7;2;7;6;0;9;0;10;2;1;2;2;5;1;;3;2;;;3;1;1;4;7;4;2;3;10;3;4;3;3;3;;;4;2;3;1;1;4;2;1;2;;3;4;;1;1;1;2;1;8;1;5;2;;;1;21
;3;2;1;4;2;4;3;2;1;1;2;1;6;1;1;1;1;1999;1;1;2;2;6;2;2;1;1;5;1;4;4;5;5;5;1;3;3;8;4;2;2;2;8;;3;5;2;2;6;2;3;1;5;4;2;8;1;3;;3;;;2;4;3;6;1;5;1;1;1;5;4;1;1;1;3;10;1;1;2;3;1;3;4;1;2;4;4;1;10;2;0;2;10;6;0;9;5;9;3;1;2;4;5;2;3;1;2;;;4;1;2;4;6;3;4;0;10;3;3;4;3;3;3;5;4;2;3;1;;;;;;;;;;;;;;;;;;;;;;21
6;1;2;1;4;2;4;3;2;1;1;1;1;6;1;1;1;;1998;1;1;3;2;1;3;;3;2;4;2;3;2;3;3;3;2;3;1;8;2;3;2;2;7;2;3;3;;3;6;2;1;5;4;3;3;4;2;6;;6;;;3;3;3;3;2;2;2;2;2;2;2;;2;3;3;4;3;2;2;3;4;4;2;1;3;3;4;2;10;3;5;2;6;5;3;6;5;7;4;2;3;2;5;2;4;3;2;;;4;3;3;3;5;3;2;6;7;1;1;1;3;1;;;4;2;;1;1;2;2;1;2;;;;;5;1;1;4;1;5;;;2;;;1;22
6;1;1;1;4;2;4;3;2;1;1;2;1;6;1;2;2;1;1999;1;1;2;1;3;2;1;3;2;4;2;1;1;2;2;4;2;1;3;8;1;2;2;2;7;2;3;5;3;2;5;2;6;4;3;1;2;4;1;2;;1;;;1;4;5;2;1;5;1;2;5;2;5;1;1;6;1;9;1;2;1;1;7;3;1;2;4;2;3;2;10;6;10;2;10;4;6;5;8;6;4;3;2;2;3;2;3;1;2;;;4;2;2;3;6;3;4;6;10;3;3;3;3;3;2;5;4;2;3;1;1;1;2;1;1;;4;1;2;7;1;1;3;1;10;1;5;5;;;1;21
9;1;2;1;4;2;4;2;2;1;1;1;1;6;1;2;1;1;1997;2;1;3;2;4;3;;6;1;3;4;2;1;1;3;3;1;;2;8;1;4;2;1;10;2;2;4;2;3;1;5;2;6;3;4;2;3;2;6;;1;;;2;3;3;1;1;3;1;2;2;4;;2;2;7;1;3;5;2;3;2;5;2;3;4;1;4;;;10;4;7;2;1;4;1;4;5;5;4;1;2;;5;1;1;3;1;;1;1;2;3;4;7;2;4;0;4;3;1;2;3;1;;;4;2;;1;2;1;;2;2;;1;1;5;0;1;3;2;1;6;1;1;2;;;1;23
6;5;1;1;4;2;3;2;2;1;1;1;1;6;1;1;1;1;2000;1;1;2;1;4;2;5;4;3;3;5;1;1;1;2;1;3;1;2;8;2;4;1;1;7;2;;4;4;1;4;5;3;6;1;2;2;9;3;2;;2;;;2;1;4;4;2;4;1;1;4;2;3;2;1;10;1;7;2;2;2;2;8;3;1;2;4;3;2;3;4;8;7;4;8;0;8;3;10;0;2;2;1;1;3;2;3;1;1;;4;1;1;2;1;1;;;4;8;1;2;2;3;3;3;5;4;2;3;1;1;2;1;2;1;;4;1;4;1;1;2;3;3;3;1;3;1;;;1;20
6;1;1;1;13;2;4;4;3;1;1;1;1;6;1;1;1;1;2000;1;2;2;1;5;2;;3;2;4;2;2;1;2;3;3;2;1;2;6;3;3;2;1;6;2;1;5;2;2;2;5;4;6;3;1;3;4;2;2;;1;;;2;4;4;2;2;4;1;1;3;2;3;2;1;6;1;5;3;1;2;2;7;3;2;4;1;2;3;4;9;4;7;2;4;8;5;7;5;7;3;3;3;3;4;2;4;3;2;;;4;2;3;1;6;3;2;3;6;3;3;3;2;1;;5;4;2;3;1;1;3;2;1;1;;3;3;;0;1;1;2;1;6;1;5;6;;;2;20
6;6;2;18;;;2;3;2;1;2;1;1;6;2;;;1;1995;2;2;3;;6;3;;3;2;4;3;3;2;3;4;4;2;;;8;2;3;2;;7;2;;;2;3;6;4;1;2;5;3;;3;;;;;;;3;4;4;4;2;3;1;;3;;3;;;6;1;3;3;3;2;3;6;2;1;3;4;;3;3;7;5;4;2;3;4;3;;;;;;;3;4;4;4;;2;;;3;;;;5;3;;4;4;2;2;2;;1;2;;4;;3;;;;2;;;;5;5;;3;1;1;;3;6;;;;;;;25
1;5;1;1;4;2;2;2;2;1;1;2;1;6;1;1;1;1;1968;1;1;1;2;7;1;5;3;1;2;3;2;1;1;2;5;1;1;2;11;4;3;2;1;10;2;3;2;2;3;;;;;;;2;7;1;4;;4;;;2;3;4;3;2;3;1;1;1;2;5;2;3;9;1;0;3;1;3;1;8;3;1;2;4;2;3;3;6;5;5;2;5;0;0;0;10;0;1;1;2;3;2;1;6;2;2;;;2;3;3;;3;2;;5;8;1;3;3;1;1;;5;4;2;3;1;1;2;;1;1;;;;;8;1;1;2;1;10;1;5;1;;;1;52
6;1;2;4;;2;4;3;1;1;2;2;2;6;2;1;1;1;1999;2;2;1;2;7;2;2;2;4;5;3;3;1;1;3;5;1;3;2;7;2;3;1;1;5;3;2;2;2;3;4;1;6;5;2;3;3;5;1;1;;3;;;2;3;3;6;1;4;1;4;2;3;4;;2;10;3;7;2;2;2;3;10;3;1;2;4;2;3;4;4;5;5;2;8;7;5;8;;6;2;2;3;2;4;1;1;2;2;;;4;1;2;1;7;4;4;4;10;2;2;3;1;1;4;5;4;2;3;1;1;8;2;1;;;3;;1;4;1;1;2;1;10;3;1;2;;;1;21
;1;2;4;;1;3;3;2;2;1;2;1;;;1;1;1;2000;2;1;3;2;7;3;;3;1;4;2;4;2;2;4;3;1;;1;10;4;4;2;1;10;2;3;2;1;3;2;1;6;5;4;3;3;3;1;;;;;3;2;4;1;2;1;1;1;1;2;5;2;1;1;2;1;2;4;2;3;2;5;1;3;4;2;;;;1;3;;3;1;;;;;;1;1;3;4;5;1;2;4;2;;;3;2;3;1;7;4;2;;4;3;2;2;1;1;2;;;2;;;1;;2;2;2;6;;;2;;1;1;;2;6;3;;;3;;2;20
6;2;2;18;;1;1;3;1;1;2;1;1;6;2;1;1;1;1997;2;2;2;1;6;2;1;2;2;5;2;5;5;2;3;4;2;1;3;6;4;3;1;2;7;3;3;2;1;2;4;5;1;3;6;2;3;6;2;1;;1;;;2;4;2;5;2;4;1;2;2;2;4;2;2;10;1;10;2;1;1;3;8;1;3;2;4;2;4;2;6;5;8;2;8;8;4;8;2;6;4;3;2;2;6;1;2;1;2;;;4;2;2;1;6;4;4;3;10;3;4;3;3;1;2;5;4;2;3;1;1;3;2;1;2;;1;3;;0;1;1;4;2;9;1;2;4;;;2;23
6;1;1;1;5;2;3;2;1;1;1;1;1;6;1;1;1;1;1998;2;2;;2;3;3;;4;2;3;4;2;2;2;3;3;3;7;2;9;3;;2;;5;2;1;2;;;6;4;5;2;3;1;3;7;2;6;;6;;;2;3;3;3;2;1;2;2;2;3;2;3;2;5;5;3;4;2;4;3;5;3;4;1;2;3;3;3;5;5;5;2;4;5;5;6;5;6;3;3;4;4;4;1;1;2;2;;;4;2;3;4;7;2;3;0;7;4;3;3;1;1;;;4;2;;;1;7;;1;2;;6;6;;5;3;3;3;3;5;3;5;4;;;1;22
6;6;1;1;4;2;4;2;2;1;1;1;1;6;1;1;1;1;1999;1;1;2;2;0;3;6;3;2;4;5;4;3;3;4;3;2;1;2;8;5;3;2;2;9;3;3;3;3;3;2;5;6;4;1;3;2;0;1;6;;6;;;4;3;1;6;3;1;5;1;1;4;1;3;2;6;2;7;2;2;4;1;6;3;1;2;4;3;4;1;10;4;5;3;8;5;0;5;0;7;4;1;4;3;6;1;1;1;2;;;4;2;2;1;5;3;4;0;5;2;2;3;3;1;2;5;4;2;3;1;1;6;;1;2;;6;4;1;10;3;1;5;2;10;1;5;2;;;1;21
1;2;2;1;4;2;2;2;2;1;1;1;1;6;1;1;1;1;1997;1;1;3;1;9;4;6;3;4;2;4;5;2;2;2;2;1;1;;5;3;4;2;1;4;2;1;3;2;3;2;6;5;4;1;3;3;1;1;6;;;;;3;3;2;4;2;2;1;1;3;2;3;2;1;9;1;1;5;2;3;2;9;2;4;1;3;5;3;3;5;5;7;3;2;0;2;2;6;6;2;3;3;2;;2;1;3;2;;;3;1;3;3;7;2;1;5;8;2;3;4;1;1;;;;;;;1;4;;1;2;;6;;;8;1;1;2;1;6;1;1;1;;;1;23
6;1;1;1;;2;4;4;2;1;1;2;1;6;1;2;1;1;1995;1;1;3;2;8;3;2;1;1;5;1;5;1;5;5;5;1;3;3;4;4;;2;2;10;2;1;2;1;2;2;6;1;5;3;4;2;8;1;3;;3;;;3;1;1;5;3;6;3;5;1;1;5;1;1;5;3;7;1;1;1;3;4;1;4;3;2;1;4;1;10;1;4;4;10;1;0;6;2;2;2;1;1;4;5;5;;1;1;;1;1;;1;3;7;2;4;0;10;3;3;3;3;3;2;5;4;2;3;1;1;4;2;2;1;;3;4;;10;3;1;5;1;3;1;3;2;;;1;25
1;5;1;1;4;2;2;2;1;1;1;1;1;6;1;1;2;1;1998;1;1;2;;4;3;;4;5;5;5;3;1;5;5;4;3;3;2;6;3;3;1;2;6;2;1;3;;3;4;5;6;2;3;1;3;3;2;2;;2;;;2;1;3;3;6;6;6;2;5;5;4;2;1;6;3;6;2;1;2;4;4;1;2;3;4;4;4;5;8;4;2;4;8;1;6;4;5;1;4;3;3;3;4;6;3;2;2;;;4;3;3;2;3;2;4;2;9;2;2;3;3;1;2;5;4;2;3;1;1;1;1;2;1;;;1;2;2;3;1;2;1;7;2;4;6;;2;3;22
2;1;1;1;2;2;1;2;2;1;1;2;1;6;1;2;1;1;2001;1;1;4;2;5;4;2;3;1;4;5;5;2;1;5;3;1;3;1;1;5;4;3;1;0;2;2;3;3;2;5;6;1;2;4;3;2;6;1;6;;3;;;3;1;1;6;1;1;1;4;1;3;1;5;1;5;3;4;2;2;4;;8;3;1;2;4;4;4;2;10;5;3;4;1;0;0;0;0;0;2;2;3;3;5;1;2;2;2;;;1;3;3;3;4;1;3;0;0;1;1;1;1;1;;;4;2;3;1;1;8;2;4;2;;5;2;1;10;3;1;2;5;10;2;5;6;;2;1;19
9;6;2;1;5;2;4;2;2;1;1;1;1;6;1;1;1;1;1998;1;1;3;;0;;;3;1;4;5;3;2;2;;4;1;7;1;9;;3;3;1;5;;3;3;;;2;6;5;4;;;3;0;2;6;;6;;;;3;1;6;1;2;1;2;3;2;1;3;2;3;1;0;5;2;3;3;1;3;1;4;;;;;;;;;;;;;;;1;3;3;2;5;;;;;;;;;;;;;;;;;;;;;;;;;;;1;5;2;3;2;;;;;;;;;;;;;;;;;22
9;1;2;1;4;2;4;3;2;1;1;2;1;6;1;1;1;1;1999;1;1;;2;6;3;2;1;1;5;2;5;2;4;4;5;1;3;2;8;3;3;3;2;8;3;3;2;1;2;2;3;5;6;4;1;2;9;1;3;;3;;;;3;2;5;2;6;2;5;2;2;;;1;2;2;4;3;1;2;4;2;4;1;3;2;1;4;1;10;1;5;3;9;3;0;8;1;6;2;1;2;4;5;;;1;3;;;3;;2;3;6;2;4;2;6;3;2;3;3;3;2;5;4;2;3;1;1;4;2;1;;;3;4;;8;1;1;5;1;7;;4;2;;;1;21
6;1;2;1;4;2;4;2;3;1;1;1;1;6;1;1;2;1;1999;1;1;3;2;1;3;;3;1;3;5;3;3;2;1;3;1;;;6;3;;2;2;6;;;;;;2;6;5;1;4;3;2;5;2;;;;;;;3;1;6;2;1;1;1;2;5;1;;2;7;1;0;4;2;;;7;2;3;1;4;;4;1;10;2;5;3;0;;;;;;2;3;3;2;6;1;1;4;2;;;2;3;3;3;7;2;2;5;10;1;1;1;1;1;;;;;;;1;1;;1;2;;5;5;1;5;1;1;5;1;10;2;5;;;1;1;21
4;2;2;1;4;2;3;4;2;1;1;2;1;6;1;1;1;1;1960;1;1;2;2;2;2;2;3;2;5;4;3;1;3;3;3;2;1;2;10;4;3;2;2;7;2;3;2;2;3;6;5;2;1;4;3;2;0;1;6;;3;;;3;2;2;5;2;4;2;1;1;2;2;1;1;5;3;7;2;1;1;3;4;1;3;4;2;3;4;2;10;3;7;3;9;2;0;7;4;6;3;3;2;3;4;2;3;2;2;;;4;2;1;3;5;1;3;0;6;4;3;3;1;1;2;5;4;2;3;1;1;4;2;1;2;;3;4;4;9;1;1;4;1;8;1;4;2;;;1;60
1;3;2;1;4;2;3;4;1;1;1;2;1;6;1;1;1;1;1968;1;1;2;;8;2;;3;1;4;2;2;3;2;3;4;1;1;;7;4;3;1;1;7;2;3;2;2;3;6;5;2;4;1;3;2;3;1;2;;1;;;1;5;5;4;6;6;1;3;2;4;4;1;1;9;1;7;1;1;1;3;5;2;1;3;4;3;2;2;10;5;8;1;9;8;4;7;5;8;1;1;1;2;2;2;3;1;2;;;4;2;2;3;5;4;4;7;10;2;4;3;3;3;2;5;4;2;3;1;1;3;2;1;1;;1;1;;3;1;1;3;1;7;1;;6;;;1;52
6;1;1;1;4;2;3;3;1;1;1;2;1;6;1;1;1;1;1999;1;1;2;2;10;2;;1;3;5;3;1;2;1;1;5;1;1;3;9;2;2;1;2;0;2;3;3;2;1;5;4;6;2;1;3;3;5;1;1;;1;;;1;5;4;4;1;6;1;1;6;1;6;1;1;10;3;3;4;1;1;4;0;3;1;2;4;1;1;5;10;5;10;1;10;10;0;6;0;3;;1;1;3;2;2;2;1;1;;1;;;2;4;7;4;4;3;8;;;;3;3;2;5;4;2;3;1;1;3;2;1;1;;1;3;5;0;1;1;1;1;8;1;5;4;;;1;21
6;1;1;18;;;2;2;2;1;2;1;1;6;2;1;2;1;1997;2;;3;;1;3;2;2;4;3;;4;3;1;;3;2;7;;8;2;3;1;1;5;1;1;5;3;3;1;4;5;2;6;3;2;5;1;;;3;;;2;3;2;6;2;;1;2;;;3;;2;9;1;4;;2;3;1;10;3;1;2;4;;;3;7;5;8;;4;7;8;9;6;6;3;3;2;1;4;1;3;3;2;;;4;2;;;3;3;4;6;9;3;3;4;2;2;2;5;4;2;3;1;1;8;2;2;;;3;;3;0;1;1;;1;9;2;2;6;;1;1;23
